waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=1.35e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=1.35e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=2.25e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=2.25e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=3.15e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=3.15e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=4.5e-08) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=4.5e-08) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=4.05e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=4.05e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=4.95e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=4.95e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=5.85e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=5.85e-07) Y,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=6.75e-07) X,waveVsWave(?x (OP("/PM0" "gm") / (- OP("/PM0" "ids"))) ?y ((- OP("/PM0" "ids")) / VAR("width"))) (length=6.75e-07) Y
2.280386576995854,188.6310469707531,2.260828987894946,145.9703669769357,2.274253829919334,118.4231069031801,2.703673395441432,241.3480024726678,2.285970433329043,99.65054079108894,2.291724772359191,86.10491048252996,2.315618025993905,75.07419875856924,2.333545570819563,66.35035440840113
2.908808884955458,145.8171358190015,2.843773950511495,113.2720665486702,2.848491438758771,91.79308051114094,3.681076031519165,176.12226558752,2.862817283335766,77.12988199715653,2.87657110304085,66.574951323454,2.904661391504973,57.89066356038498,2.924052029722602,51.06628225316774
3.882241157953185,104.2451531029066,3.700479643493723,81.91563939594194,3.662783232091482,66.46884795907343,5.399790570528455,112.8147111165487,3.655583797011432,55.8167747414066,3.657219262371021,48.1328260500997,3.675415993525128,41.75112912691593,3.685978051096476,36.76989500599191
5.580949967499671,65.52029276168464,5.130011278339033,53.04480456728765,4.981919118045667,43.41092951770403,8.564248676568004,56.99962508315821,4.91098745080506,36.57881399086233,4.869554658053773,31.59492518858815,4.854362846423994,27.39438056664963,4.837852587436334,24.12808168379147
8.952038739821042,32.33696251038639,7.960997555381901,28.06813233481527,7.567702279813326,23.56540204825655,13.26275718549551,19.24958221125058,7.344938513923561,20.12940055854984,7.195847469163896,17.53938133863292,7.094419836037468,15.28612491210632,7.008646877625374,13.52513600232026
15.5382509143865,9.794732872667133,14.25244204634464,9.622639615790412,13.52606860464255,8.554551861056758,16.88998561255069,4.190265800040753,13.03572109860969,7.569876873487867,12.67069511012088,6.762741121254952,12.37556267733253,6.00640159541277,12.12785276580671,5.399079653883637
23.57226069969957,1.372356224650751,23.86208466177561,1.427139351221805,23.61705727880608,1.344617909357038,20.56267610080972,0.6577754437823294,23.29609600585616,1.248503962887132,22.97976704051835,1.160810856663658,22.67202779257971,1.067911771353688,22.38656611192198,0.9898595250152528
30.09872240329977,0.09242011568508177,30.42832631521967,0.0921474756716094,30.32786044982572,0.08767569938199622,26.46308577357439,0.06288601557457271,30.16907305507106,0.08289492439205856,30.01307038038854,0.07854242589034129,29.92624093644998,0.07344684304278239,29.84000242364499,0.06917023244513296
33.61734136240042,0.003712660667931841,33.93995988305119,0.00358928218918292,33.98604965591778,0.003428511047508425,30.41829929086073,0.003560913725313892,33.96288175931141,0.003275295945748025,33.91751681655179,0.003138676089526368,33.95504113708289,0.002944134314031659,33.97315848747101,0.002783843441995444
34.87495051409599,0.0001197544116740426,35.22480818681078,0.0001119136674113445,35.35812209067227,0.0001058420354518477,31.94762650136802,0.0001556252561924115,35.42253548178508,0.000100806734589505,35.45710498224835,9.657157459809107e-05,35.56753821514491,8.984632938633393e-05,35.65065796904182,8.446659857156501e-05
35.22299134250154,3.569363048626645e-06,35.61459926827127,3.213057035333288e-06,35.78181424351434,2.992526993090574e-06,32.39942556689497,6.179290930608382e-06,35.87365400352201,2.827242998534444e-06,35.93121787671421,2.695387406053424e-06,36.05665730346802,2.477717769919452e-06,36.15314300854256,2.308066453269695e-06
